"shift","t","RR","RR.CI.low","RR.CI.high","RD","RD.CI.low","RD.CI.high"
"i",1,0.838,0.761,0.916,-0.000814,-0.001237,-0.000391
"i",2,0.864,0.803,0.924,-0.00122,-0.001796,-0.000643
"i",3,0.84,0.789,0.891,-0.002086,-0.002812,-0.001361
"i",4,0.738,0.695,0.782,-0.004449,-0.005314,-0.003585
"ii",1,0.936,0.804,1.069,-0.000321,-0.000991,0.000348
"ii",2,1.06,0.957,1.163,0.000538,-0.000381,0.001457
"ii",3,1.004,0.921,1.087,5.3e-05,-0.001031,0.001138
"ii",4,0.925,0.856,0.995,-0.001271,-0.00246,-8.2e-05
"iii",1,0.901,0.833,0.969,-5e-04,-0.000865,-0.000135
"iii",2,0.901,0.848,0.953,-0.000886,-0.001387,-0.000384
"iii",3,0.871,0.826,0.916,-0.001689,-0.002332,-0.001046
"iii",4,0.817,0.776,0.859,-0.003104,-0.003898,-0.00231
